plate,sample_code,dose,mean_inhibition,se
plate1,1-6,5,88.92405063291139,0.5853895801799334
plate1,1-6,50,95.41139240506328,0.5321844955329794
plate1,media,5,99.99999999999999,0.03955696202531319
plate1,positive_control,5,99.5253164556962,0.10465788414021489
plate1,positive_control,50,99.7626582278481,0.10465788414021131
plate2,1-13,5,91.59663865546219,0.1145912910618776
plate2,1-13,50,90.98548510313216,0.038197097020628235
plate2,1-14,5,81.74178762414057,0.06615931274136384
plate2,1-14,50,91.13827349121468,0.0
plate2,1-6,5,65.24064171122996,0.4770815888768833
plate2,1-6,50,87.01298701298701,0.26463725096545127
plate2,media,5,100.0,0.10106001952118449
plate2,positive_control,5,92.20779220779221,0.8884418143325469
plate2,positive_control,50,99.15966386554621,0.11459129106187997
plate3,1-1,5,84.69846984698471,0.33977652723990764
plate3,1-1,50,83.34833483348335,0.6660057869913912
plate3,1-10,5,86.85868586858686,0.35721214820854247
plate3,1-10,50,85.14851485148515,0.16226603399927816
plate3,1-11,5,86.40864086408641,0.27375168903232333
plate3,1-11,50,86.94869486948694,0.2505744537727285
plate3,1-12,5,85.05850585058505,0.36003600360035887
plate3,1-12,50,84.60846084608461,0.2250225022502216
plate3,1-13,5,91.44914491449146,0.7435963835219764
plate3,1-13,50,93.78937893789379,0.32453206799855966
plate3,1-14,5,90.45904590459047,0.49504950495049616
plate3,1-14,50,92.79927992799281,0.20623652992600647
plate3,1-2,5,86.40864086408641,0.27375168903232333
plate3,1-2,50,89.37893789378938,0.36003600360035887
plate3,1-3,5,88.74887488748875,0.23385024404620278
plate3,1-3,50,87.30873087308731,0.3514963850543044
plate3,1-4,5,87.48874887488749,0.23814143213902872
plate3,1-4,50,86.04860486048605,0.48679810199783846
plate3,1-5,5,85.5085508550855,0.0
plate3,1-5,50,85.77857785778578,0.13501350135013487
plate3,1-6,5,88.20882088208822,0.5456505694411409
plate3,1-6,50,86.13861386138613,0.7846802778651062
plate3,1-7,5,87.66876687668767,0.38975040674366995
plate3,1-7,50,85.86858685868587,0.5530245601910211
plate3,1-8,5,83.79837983798382,0.1800180018001806
plate3,1-8,50,83.61836183618362,0.2062365299260049
plate3,1-9,5,81.45814581458146,0.43400768501318515
plate3,1-9,50,83.25832583258325,0.27375168903232544
plate3,media,5,100.0,0.04500450045004337
plate3,positive_control,5,97.11971197119712,0.2810530152294515
plate3,positive_control,50,99.36993699369935,0.1961700694662761
plate4,1-6,5,88.92405063291139,0.5853895801799334
plate4,1-6,50,95.41139240506328,0.5321844955329794
plate4,media,5,99.99999999999999,0.03955696202531319
plate4,positive_control,5,99.5253164556962,0.10465788414021489
plate4,positive_control,50,99.7626582278481,0.10465788414021131
