plate,sample_code,dose,mean_inhibition,se
plate1,1-1,5,-48.10126582278479,1.0284810126582304
plate1,1-1,50,-16.772151898734162,1.881764223459854
plate1,1-10,5,-47.86392405063289,1.0643689910659575
plate1,1-10,50,-6.724683544303785,0.8335169108269579
plate1,1-11,5,23.81329113924051,2.105456231356211
plate1,1-11,50,22.863924050632914,2.5177004178749303
plate1,1-12,5,-7.199367088607592,2.0462843601863248
plate1,1-12,50,29.984177215189877,0.920071467532675
plate1,1-13,5,-0.4746835443037926,1.3449367088607593
plate1,1-13,50,6.40822784810127,0.9793843673370198
plate1,1-14,5,11.867088607594942,2.0942787170805457
plate1,1-14,50,-6.487341772151889,0.13702933604184228
plate1,1-2,5,29.27215189873418,3.2443944083466114
plate1,1-2,50,-18.98734177215189,1.3466807381763592
plate1,1-3,5,-6.645569620253156,0.960020656606932
plate1,1-3,50,22.072784810126585,3.944406357334009
plate1,1-4,5,-3.0854430379746813,1.0621615175710097
plate1,1-4,50,19.382911392405067,4.575117938805702
plate1,1-5,5,8.544303797468359,0.4561931406119782
plate1,1-5,50,19.303797468354432,2.498046424659325
plate1,1-6,5,88.92405063291139,0.5853895801799334
plate1,1-6,50,95.41139240506328,0.5321844955329794
plate1,1-7,5,6.091772151898741,0.9268492495142392
plate1,1-7,50,30.775316455696206,1.795816370698761
plate1,1-8,5,12.9746835443038,0.06851466802092102
plate1,1-8,50,32.99050632911393,0.8029186364788145
plate1,1-9,5,-29.667721518987328,2.337880040472655
plate1,1-9,50,-13.053797468354423,0.486084087319798
plate1,growth,50,3.552713678800501e-15,3.734101788017449
plate1,media,5,99.99999999999999,0.03955696202531319
plate1,positive_control,5,99.5253164556962,0.10465788414021489
plate1,positive_control,50,99.7626582278481,0.10465788414021131
plate2,1-1,5,-45.37815126050418,1.7879342610341389
plate2,1-1,50,-60.65699006875476,2.041669673780406
plate2,1-10,5,-29.411764705882334,5.6723653640586145
plate2,1-10,50,-47.135217723452996,4.995064623601446
plate2,1-11,5,-19.938884644766986,5.879375790614865
plate2,1-11,50,-47.66997708174176,1.206085057589529
plate2,1-12,5,-25.897631779984714,5.645810045501565
plate2,1-12,50,-28.03666921313979,4.061664563035846
plate2,1-13,5,91.59663865546219,0.1145912910618776
plate2,1-13,50,90.98548510313216,0.038197097020628235
plate2,1-14,5,81.74178762414057,0.06615931274136384
plate2,1-14,50,91.13827349121468,0.0
plate2,1-2,5,-13.4453781512605,1.1766937968486892
plate2,1-2,50,-57.37203972498087,4.0906576457082435
plate2,1-3,5,-14.438502673796783,2.929246687553528
plate2,1-3,50,-62.0320855614973,2.995733812634255
plate2,1-4,5,-16.04278074866309,1.7768836286650858
plate2,1-4,50,-55.30939648586705,2.944646886510013
plate2,1-5,5,-20.70282658517952,4.575527559779784
plate2,1-5,50,-40.488922841863996,5.8790035407886725
plate2,1-6,5,65.24064171122996,0.4770815888768833
plate2,1-6,50,87.01298701298701,0.26463725096545127
plate2,1-7,5,-30.48128342245987,4.330445842171776
plate2,1-7,50,-59.51107715813597,3.064350056551806
plate2,1-8,5,-56.30252100840334,1.0756400183597212
plate2,1-8,50,-57.8304048892284,1.5159002928177594
plate2,1-9,5,-52.17723453017569,0.2504751155195553
plate2,1-9,50,-60.35141329258974,0.8048627771468871
plate2,growth,50,3.552713678800501e-15,2.9781490500413743
plate2,media,5,100.0,0.10106001952118449
plate2,positive_control,5,92.20779220779221,0.8884418143325469
plate2,positive_control,50,99.15966386554621,0.11459129106187997
plate3,1-1,5,84.69846984698471,0.33977652723990764
plate3,1-1,50,83.34833483348335,0.6660057869913912
plate3,1-10,5,86.85868586858686,0.35721214820854247
plate3,1-10,50,85.14851485148515,0.16226603399927816
plate3,1-11,5,86.40864086408641,0.27375168903232333
plate3,1-11,50,86.94869486948694,0.2505744537727285
plate3,1-12,5,85.05850585058505,0.36003600360035887
plate3,1-12,50,84.60846084608461,0.2250225022502216
plate3,1-13,5,91.44914491449146,0.7435963835219764
plate3,1-13,50,93.78937893789379,0.32453206799855966
plate3,1-14,5,90.45904590459047,0.49504950495049616
plate3,1-14,50,92.79927992799281,0.20623652992600647
plate3,1-2,5,86.40864086408641,0.27375168903232333
plate3,1-2,50,89.37893789378938,0.36003600360035887
plate3,1-3,5,88.74887488748875,0.23385024404620278
plate3,1-3,50,87.30873087308731,0.3514963850543044
plate3,1-4,5,87.48874887488749,0.23814143213902872
plate3,1-4,50,86.04860486048605,0.48679810199783846
plate3,1-5,5,85.5085508550855,0.0
plate3,1-5,50,85.77857785778578,0.13501350135013487
plate3,1-6,5,88.20882088208822,0.5456505694411409
plate3,1-6,50,86.13861386138613,0.7846802778651062
